,video_id,publish_time,title,channel_Id,channel_title,tags,views_count,likes_count,dislikes_count,favorites_count,comments_count,duration
0,juhZlwS0ekw,2020-09-05T04:48:33Z,[playlist] 도입부부터 미쳐버린 팝송모음,UCIVGTOc8ZwAKtWc_awlzskg,#yeLocDirAe 옐럭,"['도입부부터지리는팝송', '나만알고싶은팝송추천', '도입부팝송추천', '매장에서틀기좋은팝송추천', '퇴근할때듣기좋은신나는팝송']",1613898,47877,264,0,1103.0,PT49M42S
1,99CQFkXOZss,2020-09-27T02:00:03Z,[playlist] 너무 과하지 않는 일렉에 그렇지 못한 텐션 EDM모음,UCIVGTOc8ZwAKtWc_awlzskg,#yeLocDirAe 옐럭,"['홈파티팝송모음', '브라이덜샤워신나는노래', '빨리준비하고나가는노래', '출근길신나는노래', '방구석파티노래', '도입부부터신나는노래']",875450,21202,125,0,894.0,PT1H31S
2,pYDm6tqjIOA,2020-06-24T12:44:05Z,[playlist] 도입부부터 지리는 팝송모음,UCIVGTOc8ZwAKtWc_awlzskg,#yeLocDirAe 옐럭,"['도입부팝송', '팝플레이리스트', '출근할때', '끊김없는노래', '광고없는노래모음', '광고없는팝송']",701862,20922,151,0,536.0,PT39M3S
3,Wg1ayLoxNCU,2020-10-02T14:30:11Z,[playlist] 여러분이 좋아하실만한 듣기 편한 팝송을 가져왔어요 #2,UCIVGTOc8ZwAKtWc_awlzskg,#yeLocDirAe 옐럭,"['도입부부터좋은팝송모음', '들을께없다', '오늘의팝송', '팝플리', '나만알고싶은팝송모음']",593423,12428,80,0,415.0,PT1H11M16S
4,_WXvQz4sjBU,2020-09-23T07:00:07Z,[playlist] 도입부부터 흥타는 팝송모음,UCIVGTOc8ZwAKtWc_awlzskg,#yeLocDirAe 옐럭,"['도입부좋은노래', '도입부좋은팝송', '도입부부터지리는팝송추천', '도입부팝송모음', '도입부부터신나는팝송']",560580,11422,118,0,416.0,PT53M11S
5,0Vl12dVsiss,2021-02-02T22:15:01Z,[playlist] 겨울 아침에 듣기 좋은 팝송모음 #2,UCIVGTOc8ZwAKtWc_awlzskg,#yeLocDirAe 옐럭,"['겨울출근노래모음', '겨울팝송추천', '추울때듣기좋은노래모음', '잔잔하지만신나는노래', '공부할때듣는노래모음', '겨울등교노래팝송']",412146,8328,73,0,434.0,PT1H6M36S
6,r7M6pf02tpE,2020-10-24T03:00:06Z,[playlist] 먹고살기 힘든 그대들을 위한 신나고 조금은 과한 EDM모음,UCIVGTOc8ZwAKtWc_awlzskg,#yeLocDirAe 옐럭,"['홈파티팝송모음', '여행가고싶은팝송모음', '빨리준비하고나가는노래', '출근길신나는노래', '방구석파티노래', '도입부부터신나는노래']",347415,6390,53,0,299.0,PT1H45M24S
7,hPric93qaRE,2020-11-28T13:30:12Z,[playlist] 겨울 아침에 듣기 좋은 팝송모음,UCIVGTOc8ZwAKtWc_awlzskg,#yeLocDirAe 옐럭,"['겨울출근노래모음', '겨울팝송추천', '추울때듣기좋은노래모음', '잔잔하지만신나는노래', '공부할때듣는노래모음', '겨울등교노래팝송']",344545,6614,90,0,340.0,PT58M19S
8,gtuilpP916M,2020-08-18T23:00:09Z,[playlist] 여러분이 좋아하실만한 듣기 편한 팝송을 가져왔어요,UCIVGTOc8ZwAKtWc_awlzskg,#yeLocDirAe 옐럭,"['도입부부터좋은팝송모음', '들을께없다', '오늘의팝송', '팝플리', '나만알고싶은팝송모음']",330078,7856,59,0,317.0,PT47M44S
9,Y7eRHtLCjb8,2020-06-15T12:58:52Z,『PLAYLIST』 𝕵𝖔𝖓𝖓𝖆 치명적인 팝송모음,UCIVGTOc8ZwAKtWc_awlzskg,#yeLocDirAe 옐럭,"['더러운팝송', '팝송1시간', '팝플레이리스트', '시내를거닐며듣는팝', '금요일에듣기좋은팝송', '끊김없는노래', '광고없는노래모음', '광고없는팝송', '광고없는멜론']",311866,11640,52,0,519.0,PT40M16S
