,publish_time,title,channel_name,tags_count,views_count,likes_count,dislikes_count,comments_count,duration_sec,published_date,published_time_UTC,subscribers
0,2020-09-05T04:48:33Z,[playlist] 도입부부터 미쳐버린 팝송모음,#yeLocDirAe 옐럭,5,1613898,47877,264,1103.0,2982,2020-09-05,04:48:33,83700.0
1,2020-09-27T02:00:03Z,[playlist] 너무 과하지 않는 일렉에 그렇지 못한 텐션 EDM모음,#yeLocDirAe 옐럭,6,875450,21202,125,894.0,3631,2020-09-27,02:00:03,83700.0
2,2020-06-24T12:44:05Z,[playlist] 도입부부터 지리는 팝송모음,#yeLocDirAe 옐럭,6,701862,20922,151,536.0,2343,2020-06-24,12:44:05,83700.0
3,2020-10-02T14:30:11Z,[playlist] 여러분이 좋아하실만한 듣기 편한 팝송을 가져왔어요 #2,#yeLocDirAe 옐럭,5,593423,12428,80,415.0,4276,2020-10-02,14:30:11,83700.0
4,2020-09-23T07:00:07Z,[playlist] 도입부부터 흥타는 팝송모음,#yeLocDirAe 옐럭,5,560580,11422,118,416.0,3191,2020-09-23,07:00:07,83700.0
5,2021-02-02T22:15:01Z,[playlist] 겨울 아침에 듣기 좋은 팝송모음 #2,#yeLocDirAe 옐럭,6,412146,8328,73,434.0,3996,2021-02-02,22:15:01,83700.0
6,2020-10-24T03:00:06Z,[playlist] 먹고살기 힘든 그대들을 위한 신나고 조금은 과한 EDM모음,#yeLocDirAe 옐럭,6,347415,6390,53,299.0,6324,2020-10-24,03:00:06,83700.0
7,2020-11-28T13:30:12Z,[playlist] 겨울 아침에 듣기 좋은 팝송모음,#yeLocDirAe 옐럭,6,344545,6614,90,340.0,3499,2020-11-28,13:30:12,83700.0
8,2020-08-18T23:00:09Z,[playlist] 여러분이 좋아하실만한 듣기 편한 팝송을 가져왔어요,#yeLocDirAe 옐럭,5,330078,7856,59,317.0,2864,2020-08-18,23:00:09,83700.0
9,2020-06-15T12:58:52Z,『PLAYLIST』 𝕵𝖔𝖓𝖓𝖆 치명적인 팝송모음,#yeLocDirAe 옐럭,9,311866,11640,52,519.0,2416,2020-06-15,12:58:52,83700.0
10,2020-07-16T13:30:04Z,[playlist] 고요한 새벽에 칠린하기 좋은 팝송모음,#yeLocDirAe 옐럭,6,291328,8269,40,311.0,2591,2020-07-16,13:30:04,83700.0
11,2020-10-08T13:30:12Z,[playlist] 구독자분들의 추천 팝송모음 #1｜우럭 양식장 🐟,#yeLocDirAe 옐럭,4,276627,6648,48,455.0,3565,2020-10-08,13:30:12,83700.0
12,2020-09-19T01:00:01Z,[playlist] ESFJ 주인장이 보장하는 주말 아침 상쾌한 팝송모음,#yeLocDirAe 옐럭,5,248770,7453,40,702.0,3132,2020-09-19,01:00:01,83700.0
13,2020-06-28T08:43:58Z,"[playlist] 여름이 있어야 하는 이유, 청량한 여름팝송 모음",#yeLocDirAe 옐럭,8,231480,5247,43,166.0,3757,2020-06-28,08:43:58,83700.0
14,2020-08-25T22:30:02Z,[playlist] 휴대폰을 쥐고 검지로 뒷판 두들만한 외적 핑거탭 팝송모음,#yeLocDirAe 옐럭,6,225853,5535,42,237.0,2808,2020-08-25,22:30:02,83700.0
15,2020-10-14T04:00:06Z,"[playlist] 오늘 할 일, 섹시하고 파워풀하게 샤워하기",#yeLocDirAe 옐럭,5,224976,6764,48,322.0,3041,2020-10-14,04:00:06,83700.0
16,2020-11-04T07:00:02Z,[playlist] 도입부부터 감각적인 팝송모음,#yeLocDirAe 옐럭,5,219799,5253,42,236.0,3530,2020-11-04,07:00:02,83700.0
17,2020-09-19T15:00:35Z,[playlist] 별멍 때리기 좋은 새벽 감성 팝송모음,#yeLocDirAe 옐럭,5,197804,6936,22,370.0,2906,2020-09-19,15:00:35,83700.0
18,2020-08-22T03:00:04Z,[playlist] 애덤 스미스도 보이지 않는 손으로 박수 칠 팝송모음,#yeLocDirAe 옐럭,6,191411,5619,43,326.0,2921,2020-08-22,03:00:04,83700.0
19,2020-06-25T11:04:07Z,[playlist] 나만 알고 싶은 매력적인 팝송모음,#yeLocDirAe 옐럭,8,186886,4538,38,115.0,2370,2020-06-25,11:04:07,83700.0
20,2020-08-11T12:00:48Z,[playlist] 당신의 재생목록으로 바로 추가되는 팝송모음,#yeLocDirAe 옐럭,4,186639,4898,46,151.0,2395,2020-08-11,12:00:48,83700.0
21,2020-09-26T14:30:12Z,[playlist] 잠도 안오는 새벽인데 팝송이나 틀어볼까,#yeLocDirAe 옐럭,7,183780,4215,26,251.0,4039,2020-09-26,14:30:12,83700.0
22,2020-11-17T22:15:01Z,"출근, 등교하는 우럭쓰들 이거 들으면서 상쾌하게 출발 하시게",#yeLocDirAe 옐럭,4,173930,4810,26,356.0,3576,2020-11-17,22:15:01,83700.0
23,2021-02-23T22:15:01Z,[playlist] 봄 아침에 듣기 좋은 팝송모음,#yeLocDirAe 옐럭,6,173736,3108,35,251.0,3672,2021-02-23,22:15:01,83700.0
24,2021-02-10T01:00:05Z,[playlist] 너무 과하지 않는 일렉에 그렇지 못한 텐션 EDM모음 #2,#yeLocDirAe 옐럭,6,173629,3774,20,422.0,3903,2021-02-10,01:00:05,83700.0
25,2020-09-01T22:00:06Z,[playlist] 오늘은 조금 일찍 일어나서 커피 하나 마시며 출근해야지 생각 드는 팝송모음,#yeLocDirAe 옐럭,6,173147,4528,25,244.0,2822,2020-09-01,22:00:06,83700.0
26,2021-01-19T22:30:01Z,[playlist] 드랍이 미쳐버린 EDM모음,#yeLocDirAe 옐럭,6,161766,5002,24,399.0,4222,2021-01-19,22:30:01,83700.0
27,2021-01-06T22:15:02Z,[playlist] 엥? 이 정도 EDM은 괜찮으시죠? 신나는 EDM모음,#yeLocDirAe 옐럭,6,152883,4136,28,361.0,3722,2021-01-06,22:15:02,83700.0
28,2020-09-09T07:00:07Z,[playlist] 누구나 한 번쯤은 힙해지고 싶은 날이 있으니깐 그때 들어볼 외힙모음,#yeLocDirAe 옐럭,7,144546,4163,27,209.0,2618,2020-09-09,07:00:07,83700.0
29,2020-08-28T23:00:02Z,[playlist] 여름이 존재해야 하는 이유 청량한 여름팝송 모음,#yeLocDirAe 옐럭,5,140998,2518,17,138.0,3916,2020-08-28,23:00:02,83700.0
30,2021-01-27T01:00:12Z,[playlist] 못 들어봤다면 𝙅𝙊𝙉𝙉𝘼 유감인 EDM모음,#yeLocDirAe 옐럭,8,127870,3795,12,475.0,4118,2021-01-27,01:00:12,83700.0
31,2020-10-28T03:30:00Z,[playlist] 여러분이 좋아하실만한 듣기 편한 팝송을 가져왔어요 #3,#yeLocDirAe 옐럭,5,115659,2979,26,192.0,2940,2020-10-28,03:30:00,83700.0
32,2020-11-14T13:30:11Z,[playlist] 구독자분들의 추천 팝송모음 #2｜우럭 양식장 🐟,#yeLocDirAe 옐럭,4,114500,2417,17,279.0,3650,2020-11-14,13:30:11,83700.0
33,2020-10-21T03:45:00Z,[playlist] 모자 푹 눌러쓰고 들으면 쌉간지 나는 외힙모음,#yeLocDirAe 옐럭,5,106985,3364,19,143.0,2796,2020-10-21,03:45:00,83700.0
34,2020-10-24T14:00:12Z,[playlist] 따뜻한 방에서 차가운 공기 맞으며 듣는 새벽 감성 팝송모음,#yeLocDirAe 옐럭,5,103304,3225,17,179.0,3166,2020-10-24,14:00:12,83700.0
35,2020-09-30T12:00:04Z,[playlist] 입술에 필러 맞은 듯 치명적이게 기억 조작되는 퇴폐와 섹시미 팝송모음,#yeLocDirAe 옐럭,8,94936,2873,28,215.0,3207,2020-09-30,12:00:04,83700.0
36,2020-08-12T12:20:35Z,"[playlist] 이어폰 필수, 귀가 간지러울 정도의 귀르가즘 팝송모음",#yeLocDirAe 옐럭,6,85618,1804,21,82.0,2608,2020-08-12,12:20:35,83700.0
37,2020-12-17T04:00:03Z,[playlist] 감성힙합 듣고 싶은 사람 쨔람?｜𝐊𝐡𝐢𝐩𝐡𝐨𝐩🇰🇷,#yeLocDirAe 옐럭,6,84199,1082,11,123.0,3864,2020-12-17,04:00:03,83700.0
38,2020-11-21T13:00:12Z,[playlist] ※주의※ : 주인장이 EDM을 영업 중입니다,#yeLocDirAe 옐럭,6,83384,2346,13,240.0,3698,2020-11-21,13:00:12,83700.0
39,2021-02-16T04:49:25Z,[playlist] 도입부부터 돌아버린 팝송모음,#yeLocDirAe 옐럭,5,83212,1911,15,171.0,3247,2021-02-16,04:49:25,83700.0
40,2020-12-06T03:00:09Z,"[playlist] 장르별 연말파티 노래 모음.zip｜𝐘𝐞𝐚𝐫 𝐄𝐧𝐝 𝐏𝐚𝐫𝐭𝐲🥂｜Pop, Hiphop, EDM, Carol",#yeLocDirAe 옐럭,5,79871,2046,15,171.0,11242,2020-12-06,03:00:09,83700.0
41,2020-07-09T04:13:14Z,[playlist] 마성의 목소리를 가진 치명적인 팝송모음,#yeLocDirAe 옐럭,7,79159,2240,11,127.0,3015,2020-07-09,04:13:14,83700.0
